c:\sys\ut\rpn\rpn.py -l120 -E -a3010 1 5000 range lambda 2 x ** next_prime 2 x ** - eval 1 enumerate -s1
[
    [ 1, 1 ],
    [ 2, 1 ],
    [ 3, 3 ],
    [ 4, 1 ],
    [ 5, 5 ],
    [ 6, 3 ],
    [ 7, 3 ],
    [ 8, 1 ],
    [ 9, 9 ],
    [ 10, 7 ],
    [ 11, 5 ],
    [ 12, 3 ],
    [ 13, 17 ],
    [ 14, 27 ],
    [ 15, 3 ],
    [ 16, 1 ],
    [ 17, 29 ],
    [ 18, 3 ],
    [ 19, 21 ],
    [ 20, 7 ],
    [ 21, 17 ],
    [ 22, 15 ],
    [ 23, 9 ],
    [ 24, 43 ],
    [ 25, 35 ],
    [ 26, 15 ],
    [ 27, 29 ],
    [ 28, 3 ],
    [ 29, 11 ],
    [ 30, 3 ],
    [ 31, 11 ],
    [ 32, 15 ],
    [ 33, 17 ],
    [ 34, 25 ],
    [ 35, 53 ],
    [ 36, 31 ],
    [ 37, 9 ],
    [ 38, 7 ],
    [ 39, 23 ],
    [ 40, 15 ],
    [ 41, 27 ],
    [ 42, 15 ],
    [ 43, 29 ],
    [ 44, 7 ],
    [ 45, 59 ],
    [ 46, 15 ],
    [ 47, 5 ],
    [ 48, 21 ],
    [ 49, 69 ],
    [ 50, 55 ],
    [ 51, 21 ],
    [ 52, 21 ],
    [ 53, 5 ],
    [ 54, 159 ],
    [ 55, 3 ],
    [ 56, 81 ],
    [ 57, 9 ],
    [ 58, 69 ],
    [ 59, 131 ],
    [ 60, 33 ],
    [ 61, 15 ],
    [ 62, 135 ],
    [ 63, 29 ],
    [ 64, 13 ],
    [ 65, 131 ],
    [ 66, 9 ],
    [ 67, 3 ],
    [ 68, 33 ],
    [ 69, 29 ],
    [ 70, 25 ],
    [ 71, 11 ],
    [ 72, 15 ],
    [ 73, 29 ],
    [ 74, 37 ],
    [ 75, 33 ],
    [ 76, 15 ],
    [ 77, 11 ],
    [ 78, 7 ],
    [ 79, 23 ],
    [ 80, 13 ],
    [ 81, 17 ],
    [ 82, 9 ],
    [ 83, 75 ],
    [ 84, 3 ],
    [ 85, 171 ],
    [ 86, 27 ],
    [ 87, 39 ],
    [ 88, 7 ],
    [ 89, 29 ],
    [ 90, 133 ],
    [ 91, 59 ],
    [ 92, 25 ],
    [ 93, 105 ],
    [ 94, 129 ],
    [ 95, 9 ],
    [ 96, 61 ],
    [ 97, 105 ],
    [ 98, 7 ],
    [ 99, 255 ],
    [ 100, 277 ],
    [ 101, 81 ],
    [ 102, 267 ],
    [ 103, 81 ],
    [ 104, 111 ],
    [ 105, 39 ],
    [ 106, 99 ],
    [ 107, 39 ],
    [ 108, 33 ],
    [ 109, 147 ],
    [ 110, 27 ],
    [ 111, 51 ],
    [ 112, 25 ],
    [ 113, 281 ],
    [ 114, 43 ],
