c:\sys\ut\rpn\rpn.py -l100 -E -a2002 2 2500 range lambda 2 x ** previous_prime 2 x ** - eval 2 enumerate -s1
[
    [ 2, -1 ],
    [ 3, -1 ],
    [ 4, -3 ],
    [ 5, -1 ],
    [ 6, -3 ],
    [ 7, -1 ],
    [ 8, -5 ],
    [ 9, -3 ],
    [ 10, -3 ],
    [ 11, -9 ],
    [ 12, -3 ],
    [ 13, -1 ],
    [ 14, -3 ],
    [ 15, -19 ],
    [ 16, -15 ],
    [ 17, -1 ],
    [ 18, -5 ],
    [ 19, -1 ],
    [ 20, -3 ],
    [ 21, -9 ],
    [ 22, -3 ],
    [ 23, -15 ],
    [ 24, -3 ],
    [ 25, -39 ],
    [ 26, -5 ],
    [ 27, -39 ],
    [ 28, -57 ],
    [ 29, -3 ],
    [ 30, -35 ],
    [ 31, -1 ],
    [ 32, -5 ],
    [ 33, -9 ],
    [ 34, -41 ],
    [ 35, -31 ],
    [ 36, -5 ],
    [ 37, -25 ],
    [ 38, -45 ],
    [ 39, -7 ],
    [ 40, -87 ],
    [ 41, -21 ],
    [ 42, -11 ],
    [ 43, -57 ],
    [ 44, -17 ],
    [ 45, -55 ],
    [ 46, -21 ],
    [ 47, -115 ],
    [ 48, -59 ],
    [ 49, -81 ],
    [ 50, -27 ],
    [ 51, -129 ],
    [ 52, -47 ],
    [ 53, -111 ],
    [ 54, -33 ],
    [ 55, -55 ],
    [ 56, -5 ],
    [ 57, -13 ],
    [ 58, -27 ],
    [ 59, -55 ],
    [ 60, -93 ],
    [ 61, -1 ],
    [ 62, -57 ],
    [ 63, -25 ],
    [ 64, -59 ],
    [ 65, -49 ],
    [ 66, -5 ],
    [ 67, -19 ],
    [ 68, -23 ],
    [ 69, -19 ],
    [ 70, -35 ],
    [ 71, -231 ],
    [ 72, -93 ],
    [ 73, -69 ],
    [ 74, -35 ],
    [ 75, -97 ],
    [ 76, -15 ],
    [ 77, -33 ],
    [ 78, -11 ],
    [ 79, -67 ],
    [ 80, -65 ],
    [ 81, -51 ],
    [ 82, -57 ],
    [ 83, -55 ],
    [ 84, -35 ],
    [ 85, -19 ],
    [ 86, -35 ],
    [ 87, -67 ],
    [ 88, -299 ],
    [ 89, -1 ],
    [ 90, -33 ],
    [ 91, -45 ],
    [ 92, -83 ],
    [ 93, -25 ],
    [ 94, -3 ],
    [ 95, -15 ],
    [ 96, -17 ],
    [ 97, -141 ],
    [ 98, -51 ],
    [ 99, -115 ],
    [ 100, -15 ],
    [ 101, -69 ],
    [ 102, -33 ],
    [ 103, -97 ],
    [ 104, -17 ],
    [ 105, -13 ],
    [ 106, -117 ],
    [ 107, -1 ],
    [ 108, -59 ],
    [ 109, -31 ],
    [ 110, -21 ],
    [ 111, -37 ],
    [ 112, -75 ],
    [ 113, -133 ],
    [ 114, -11 ],
    [ 115, -67 ],
    [ 116, -3 ],
    [ 117, -279 ],
    [ 118, -5 ],
    [ 119, -69 ],
    [ 120, -119 ],
    [ 121, -73 ],
    [ 122, -3 ],
    [ 123, -67 ],
    [ 124, -59 ],
    [ 125, -9 ],
    [ 126, -137 ],
    [ 127, -1 ],
    [ 128, -159 ],
    [ 129, -25 ],
    [ 130, -5 ],
    [ 131, -69 ],
    [ 132, -347 ],
    [ 133, -99 ],
    [ 134, -45 ],
    [ 135, -45 ],
    [ 136, -113 ],
    [ 137, -13 ],
    [ 138, -105 ],
    [ 139, -187 ],
    [ 140, -27 ],
    [ 141, -9 ],
    [ 142, -111 ],
    [ 143, -69 ],
    [ 144, -83 ],
    [ 145, -151 ],
    [ 146, -153 ],
    [ 147, -145 ],
    [ 148, -167 ],
    [ 149, -31 ],
    [ 150, -3 ],
    [ 151, -195 ],
    [ 152, -17 ],
    [ 153, -69 ],
    [ 154, -243 ],
    [ 155, -31 ],
    [ 156, -143 ],
    [ 157, -19 ],
    [ 158, -15 ],
    [ 159, -91 ],
    [ 160, -47 ],
    [ 161, -159 ],
    [ 162, -101 ],
    [ 163, -55 ],
    [ 164, -63 ],
    [ 165, -25 ],
    [ 166, -5 ],
    [ 167, -135 ],
    [ 168, -257 ],
    [ 169, -643 ],
    [ 170, -143 ],
    [ 171, -19 ],
    [ 172, -95 ],
    [ 173, -55 ],
    [ 174, -3 ],
    [ 175, -229 ],
    [ 176, -233 ],
    [ 177, -339 ],
    [ 178, -41 ],
    [ 179, -49 ],
    [ 180, -47 ],
    [ 181, -165 ],
    [ 182, -161 ],
    [ 183, -147 ],
    [ 184, -33 ],
    [ 185, -303 ],
    [ 186, -371 ],
    [ 187, -85 ],
    [ 188, -125 ],
    [ 189, -25 ],
    [ 190, -11 ],
    [ 191, -19 ],
    [ 192, -237 ],
    [ 193, -31 ],
    [ 194, -33 ],
    [ 195, -135 ],
    [ 196, -15 ],
    [ 197, -75 ],
    [ 198, -17 ],
    [ 199, -49 ],
    [ 200, -75 ],
    [ 201, -55 ],
    [ 202, -183 ],
    [ 203, -159 ],
    [ 204, -167 ],
    [ 205, -81 ],
    [ 206, -5 ],
    [ 207, -91 ],
    [ 208, -299 ],
    [ 209, -33 ],
    [ 210, -47 ],
    [ 211, -175 ],
    [ 212, -23 ],
    [ 213, -3 ],
    [ 214, -185 ],
    [ 215, -157 ],
    [ 216, -377 ],
    [ 217, -61 ],
    [ 218, -33 ],
    [ 219, -121 ],
    [ 220, -77 ],
    [ 221, -3 ],
    [ 222, -117 ],
    [ 223, -235 ],
    [ 224, -63 ],
    [ 225, -49 ],
    [ 226, -5 ],
    [ 227, -405 ],
    [ 228, -93 ],
    [ 229, -91 ],
    [ 230, -27 ],
    [ 231, -165 ],
    [ 232, -567 ],
    [ 233, -3 ],
    [ 234, -83 ],
    [ 235, -15 ],
    [ 236, -209 ],
    [ 237, -181 ],
    [ 238, -161 ],
    [ 239, -87 ],
    [ 240, -467 ],
    [ 241, -39 ],
    [ 242, -63 ],
    [ 243, -9 ],
    [ 244, -189 ],
    [ 245, -163 ],
    [ 246, -107 ],
    [ 247, -81 ],
    [ 248, -237 ],
    [ 249, -75 ],
    [ 250, -207 ],
    [ 251, -9 ],
    [ 252, -129 ],
    [ 253, -273 ],
    [ 254, -245 ],
    [ 255, -19 ],
    [ 256, -189 ],
    [ 257, -93 ],
    [ 258, -87 ],
    [ 259, -361 ],
    [ 260, -149 ],
    [ 261, -223 ],
    [ 262, -71 ],
    [ 263, -747 ],
    [ 264, -275 ],
    [ 265, -49 ],
    [ 266, -3 ],
    [ 267, -265 ],
    [ 268, -77 ],
    [ 269, -241 ],
    [ 270, -53 ],
    [ 271, -169 ],
    [ 272, -237 ],
    [ 273, -205 ],
    [ 274, -305 ],
    [ 275, -129 ],
    [ 276, -89 ],
    [ 277, -103 ],
    [ 278, -93 ],
    [ 279, -69 ],
    [ 280, -47 ],
    [ 281, -139 ],
    [ 282, -83 ],
    [ 283, -45 ],
    [ 284, -173 ],
    [ 285, -9 ],
    [ 286, -165 ],
    [ 287, -115 ],
    [ 288, -167 ],
    [ 289, -493 ],
    [ 290, -47 ],
    [ 291, -19 ],
    [ 292, -167 ],
    [ 293, -601 ],
    [ 294, -35 ],
    [ 295, -171 ],
    [ 296, -285 ],
    [ 297, -123 ],
    [ 298, -341 ],
    [ 299, -69 ],
    [ 300, -153 ],
    [ 301, -265 ],
    [ 302, -267 ],
    [ 303, -121 ],
    [ 304, -75 ],
    [ 305, -103 ],
    [ 306, -503 ],
    [ 307, -99 ],
    [ 308, -159 ],
    [ 309, -493 ],
    [ 310, -77 ],
    [ 311, -45 ],
    [ 312, -203 ],
    [ 313, -139 ],
    [ 314, -113 ],
    [ 315, -465 ],
    [ 316, -57 ],
    [ 317, -33 ],
    [ 318, -165 ],
    [ 319, -795 ],
    [ 320, -197 ],
    [ 321, -9 ],
    [ 322, -11 ],
    [ 323, -141 ],
    [ 324, -23 ],
    [ 325, -399 ],
    [ 326, -101 ],
    [ 327, -595 ],
    [ 328, -155 ],
    [ 329, -139 ],
    [ 330, -255 ],
    [ 331, -61 ],
    [ 332, -707 ],
    [ 333, -483 ],
    [ 334, -243 ],
    [ 335, -321 ],
    [ 336, -3 ],
    [ 337, -75 ],
    [ 338, -15 ],
    [ 339, -147 ],
    [ 340, -293 ],
    [ 341, -229 ],
    [ 342, -65 ],
    [ 343, -199 ],
    [ 344, -119 ],
    [ 345, -475 ],
    [ 346, -45 ],
    [ 347, -211 ],
    [ 348, -117 ],
    [ 349, -285 ],
    [ 350, -113 ],
    [ 351, -61 ],
    [ 352, -657 ],
    [ 353, -139 ],
    [ 354, -153 ],
    [ 355, -49 ],
    [ 356, -173 ],
    [ 357, -243 ],
    [ 358, -671 ],
    [ 359, -411 ],
    [ 360, -719 ],
    [ 361, -369 ],
    [ 362, -605 ],
    [ 363, -75 ],
    [ 364, -923 ],
    [ 365, -169 ],
    [ 366, -167 ],
    [ 367, -487 ],
    [ 368, -315 ],
    [ 369, -25 ],
    [ 370, -495 ],
    [ 371, -741 ],
    [ 372, -177 ],
    [ 373, -333 ],
    [ 374, -65 ],
    [ 375, -679 ],
    [ 376, -57 ],
    [ 377, -259 ],
    [ 378, -417 ],
    [ 379, -19 ],
    [ 380, -65 ],
    [ 381, -313 ],
    [ 382, -105 ],
    [ 383, -31 ],
    [ 384, -317 ],
    [ 385, -265 ],
    [ 386, -231 ],
    [ 387, -615 ],
    [ 388, -45 ],
    [ 389, -21 ],
    [ 390, -137 ],
    [ 391, -105 ],
    [ 392, -107 ],
    [ 393, -93 ],
    [ 394, -377 ],
    [ 395, -531 ],
    [ 396, -605 ],
    [ 397, -81 ],
    [ 398, -131 ],
    [ 399, -91 ],
    [ 400, -593 ],
    [ 401, -31 ],
    [ 402, -53 ],
    [ 403, -379 ],
    [ 404, -257 ],
    [ 405, -235 ],
    [ 406, -923 ],
    [ 407, -157 ],
    [ 408, -1005 ],
    [ 409, -103 ],
    [ 410, -51 ],
    [ 411, -205 ],
    [ 412, -183 ],
    [ 413, -21 ],
    [ 414, -17 ],
    [ 415, -45 ],
    [ 416, -435 ],
    [ 417, -1029 ],
    [ 418, -147 ],
    [ 419, -69 ],
    [ 420, -317 ],
    [ 421, -271 ],
    [ 422, -101 ],
    [ 423, -91 ],
    [ 424, -389 ],
    [ 425, -301 ],
    [ 426, -321 ],
    [ 427, -781 ],
    [ 428, -65 ],
    [ 429, -55 ],
    [ 430, -677 ],
    [ 431, -201 ],
    [ 432, -299 ],
    [ 433, -601 ],
    [ 434, -183 ],
    [ 435, -97 ],
    [ 436, -87 ],
    [ 437, -93 ],
    [ 438, -417 ],
    [ 439, -151 ],
    [ 440, -33 ],
    [ 441, -361 ],
    [ 442, -995 ],
    [ 443, -685 ],
    [ 444, -17 ],
    [ 445, -195 ],
    [ 446, -77 ],
    [ 447, -325 ],
    [ 448, -203 ],
    [ 449, -241 ],
    [ 450, -501 ],
    [ 451, -2239 ],
    [ 452, -3 ],
    [ 453, -285 ],
    [ 454, -57 ],
    [ 455, -217 ],
    [ 456, -627 ],
    [ 457, -273 ],
    [ 458, -57 ],
    [ 459, -549 ],
    [ 460, -77 ],
    [ 461, -649 ],
    [ 462, -195 ],
    [ 463, -157 ],
    [ 464, -437 ],
    [ 465, -819 ],
    [ 466, -813 ],
    [ 467, -511 ],
    [ 468, -17 ],
    [ 469, -283 ],
    [ 470, -35 ],
    [ 471, -147 ],
    [ 472, -209 ],
    [ 473, -579 ],
    [ 474, -135 ],
    [ 475, -129 ],
    [ 476, -153 ],
    [ 477, -123 ],
    [ 478, -95 ],
    [ 479, -537 ],
    [ 480, -47 ],
    [ 481, -273 ],
    [ 482, -275 ],
    [ 483, -301 ],
    [ 484, -39 ],
    [ 485, -1399 ],
    [ 486, -143 ],
    [ 487, -57 ],
    [ 488, -17 ],
    [ 489, -21 ],
    [ 490, -917 ],
    [ 491, -75 ],
    [ 492, -129 ],
    [ 493, -433 ],
    [ 494, -125 ],
    [ 495, -31 ],
    [ 496, -257 ],
    [ 497, -1291 ],
    [ 498, -563 ],
    [ 499, -151 ],
    [ 500, -863 ],
    [ 501, -45 ],
    [ 502, -671 ],
    [ 503, -91 ],
    [ 504, -503 ],
    [ 505, -91 ],
    [ 506, -45 ],
    [ 507, -265 ],
    [ 508, -243 ],
    [ 509, -741 ],
    [ 510, -75 ],
    [ 511, -187 ],
    [ 512, -569 ],
    [ 513, -445 ],
    [ 514, -767 ],
    [ 515, -225 ],
    [ 516, -689 ],
    [ 517, -489 ],
    [ 518, -917 ],
    [ 519, -91 ],
    [ 520, -383 ],
    [ 521, -1 ],
    [ 522, -117 ],
    [ 523, -1267 ],
    [ 524, -465 ],
    [ 525, -363 ],
    [ 526, -363 ],
    [ 527, -1017 ],
    [ 528, -65 ],
    [ 529, -31 ],
    [ 530, -1017 ],
    [ 531, -315 ],
    [ 532, -335 ],
    [ 533, -153 ],
    [ 534, -521 ],
    [ 535, -367 ],
    [ 536, -149 ],
    [ 537, -9 ],
    [ 538, -53 ],
    [ 539, -615 ],
    [ 540, -335 ],
    [ 541, -81 ],
    [ 542, -611 ],
    [ 543, -157 ],
    [ 544, -759 ],
    [ 545, -3 ],
    [ 546, -11 ],
    [ 547, -537 ],
    [ 548, -749 ],
    [ 549, -625 ],
    [ 550, -5 ],
    [ 551, -231 ],
    [ 552, -503 ],
    [ 553, -441 ],
    [ 554, -567 ],
    [ 555, -595 ],
    [ 556, -1295 ],
    [ 557, -339 ],
    [ 558, -261 ],
    [ 559, -411 ],
    [ 560, -717 ],
    [ 561, -153 ],
    [ 562, -743 ],
    [ 563, -9 ],
    [ 564, -95 ],
    [ 565, -45 ],
    [ 566, -113 ],
    [ 567, -297 ],
    [ 568, -645 ],
    [ 569, -199 ],
    [ 570, -261 ],
    [ 571, -369 ],
    [ 572, -275 ],
    [ 573, -193 ],
    [ 574, -105 ],
    [ 575, -1057 ],
    [ 576, -789 ],
    [ 577, -81 ],
    [ 578, -483 ],
